Id,date,steps,calories_burned,avg_heart_rate,sleep_hours
150461,2023-01-08,3331,2516,98,8.9
150465,2023-01-18,13150,2487,71,8.1
150442,2023-01-15,8275,2307,88,5.6
150446,2023-01-21,6662,2186,72,6.2
150432,2023-01-19,9111,1955,80,7.8
150409,2023-01-04,12645,2537,88,8.8
150396,2023-01-29,12762,2760,94,5.5
150399,2023-01-10,7465,2435,89,5.2
150407,2023-01-22,10832,2231,60,8.6
150463,2023-01-11,10373,2265,87,5.2
150441,2023-01-03,9010,2005,74,8.6
150434,2023-01-05,8750,3091,76,8.4
150491,2023-01-06,9163,3447,61,7.0
150436,2023-01-26,10299,1886,60,6.8
150405,2023-01-28,14382,2195,79,7.5
150455,2023-01-16,13401,3402,67,5.1
150400,2023-01-07,10587,2528,80,8.9
150487,2023-01-28,6659,2987,99,8.6
150449,2023-01-07,4552,1872,73,8.0
150463,2023-01-18,9552,2830,97,8.6
150495,2023-01-27,9505,3082,62,8.0
150418,2023-01-22,10239,2366,68,6.6
150397,2023-01-16,14649,3210,96,6.1
150443,2023-01-27,8911,3255,98,6.6
150487,2023-01-18,13895,2831,88,8.8
150406,2023-01-02,5768,2938,76,6.1
150484,2023-01-09,7926,3190,84,6.0
150449,2023-01-18,12344,2360,84,6.6
150417,2023-01-07,4019,2941,92,6.7
150414,2023-01-08,7259,1894,73,5.6
150438,2023-01-06,8313,3110,62,5.9
150438,2023-01-11,14493,2457,64,8.1
150418,2023-01-19,9744,2178,78,6.8
150483,2023-01-03,5970,1811,66,8.9
150467,2023-01-27,7005,2578,71,7.2
150419,2023-01-16,3155,2870,98,5.7
150446,2023-01-09,14298,2178,62,5.7
150399,2023-01-21,14251,2252,71,5.1
150474,2023-01-14,8830,3179,83,6.1
150468,2023-01-18,6933,3239,91,6.9
150464,2023-01-09,10490,2563,83,6.5
150405,2023-01-13,8232,1913,89,7.2
150432,2023-01-21,6046,3260,74,8.3
150414,2023-01-21,9907,2408,63,7.5
150414,2023-01-24,6302,2886,96,8.5
150415,2023-01-08,3016,2943,68,8.8
150456,2023-01-20,7366,1922,75,5.2
150461,2023-01-01,12896,3146,92,7.1
150447,2023-01-30,4916,2696,80,7.2
150405,2023-01-30,8986,3323,81,8.1
150460,2023-01-03,11895,2296,78,5.4
150431,2023-01-16,9314,3360,62,7.2
150463,2023-01-29,6845,3442,99,8.6
150413,2023-01-25,12958,2599,92,7.4
150493,2023-01-14,13400,3437,73,6.8
150488,2023-01-06,3068,3059,80,8.7
150470,2023-01-07,7945,1977,69,8.0
150405,2023-01-04,7380,1862,81,5.9
150409,2023-01-05,10266,2196,98,7.1
150402,2023-01-13,14637,3343,63,5.7
150399,2023-01-09,7142,2666,99,7.9
150436,2023-01-02,12536,1906,99,5.8
150483,2023-01-21,10933,3044,65,5.5
150470,2023-01-26,11444,1818,67,5.2
150436,2023-01-29,5044,3304,97,7.7
150414,2023-01-01,13382,2141,96,6.6
150475,2023-01-19,3080,2484,85,5.8
150397,2023-01-12,10526,2509,67,7.1
150427,2023-01-26,4991,2552,75,5.3
150473,2023-01-19,14959,3413,87,6.1
150483,2023-01-11,4203,2315,80,8.9
150433,2023-01-26,10605,3361,70,7.4
150449,2023-01-08,11926,1931,77,7.0
150402,2023-01-26,3918,2549,77,6.8
150471,2023-01-10,7640,2712,83,5.5
150396,2023-01-04,14111,3487,62,5.1
150416,2023-01-21,6489,3260,79,6.3
150413,2023-01-26,13699,3373,93,5.3
150474,2023-01-21,10002,2681,73,6.8
150445,2023-01-21,6084,3457,98,7.5
150405,2023-01-23,8005,2534,77,5.1
150426,2023-01-28,10778,3448,98,7.3
150472,2023-01-21,5431,2374,91,8.5
150451,2023-01-11,14305,2714,77,6.8
150410,2023-01-13,5356,2494,91,7.0
150420,2023-01-29,6828,2503,68,8.3
150416,2023-01-08,6537,2569,88,7.7
150416,2023-01-14,9279,2161,75,8.2
150422,2023-01-09,13033,2061,74,7.0
150462,2023-01-09,6949,2860,85,7.0
150422,2023-01-04,14951,3451,71,7.2
150455,2023-01-23,11240,2875,92,6.8
150463,2023-01-20,9523,2671,62,6.6
150478,2023-01-12,5484,3191,84,8.4
150422,2023-01-17,12748,2099,70,7.2
150468,2023-01-26,9382,2830,75,6.2
150451,2023-01-23,8288,2165,74,5.8
150419,2023-01-24,9701,2349,73,8.5
150469,2023-01-23,13860,2418,76,7.1
150461,2023-01-16,11624,2976,80,8.7
150413,2023-01-18,3661,3265,95,8.8
150450,2023-01-17,6203,2649,64,5.5
150397,2023-01-21,14447,1922,76,7.9
150489,2023-01-26,5093,3290,87,5.9
150405,2023-01-22,5538,2251,96,5.6
150443,2023-01-21,5936,1970,65,7.7
150403,2023-01-11,3005,3145,79,8.9
150456,2023-01-24,7551,2575,92,7.2
150477,2023-01-30,3544,2833,75,5.0
150447,2023-01-22,3240,3192,83,7.2
150468,2023-01-01,9843,2185,97,5.9
150480,2023-01-26,6157,3397,76,6.9
150488,2023-01-07,6598,2124,72,6.8
150494,2023-01-24,14158,2229,69,8.1
150434,2023-01-14,11828,2836,91,8.9
150423,2023-01-04,9142,2571,66,8.8
150460,2023-01-27,3870,1900,80,6.4
150448,2023-01-30,3343,3247,92,5.4
150485,2023-01-29,13002,2214,62,7.5
150485,2023-01-03,11250,3074,74,7.4
150474,2023-01-25,3037,1824,85,5.4
150396,2023-01-05,3769,2143,89,5.8
150420,2023-01-06,8827,1867,87,8.4
150477,2023-01-26,13207,3295,94,7.5
150460,2023-01-28,5739,2740,80,6.8
150485,2023-01-11,10675,2689,95,6.7
150396,2023-01-07,6385,1821,84,6.2
150432,2023-01-25,7500,2407,94,8.3
150439,2023-01-03,4881,2455,65,8.1
